Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
M1E;8;360;1,71E-01;0,00E+00;5,71E-01;8,58E-01;3,82E-01;1,00E+00;1,59E-06;1,04E-06
M1E;4;240;9,95E-01;1,00E+00;9,94E-01;9,91E-01;2,80E-01;0,00E+00;1,47E-06;8,25E-07
M1A;4;30;7,89E-01;3,77E-02;0,00E+00;7,97E-01;1,00E+00;9,93E-01;1,30E-06;8,09E-07
M1C;5;135;1,00E+00;9,75E-01;4,05E-01;0,00E+00;1,99E-01;9,62E-01;1,55E-06;9,15E-07
M1A;10;300;0,00E+00;9,63E-01;1,00E+00;9,55E-01;9,42E-01;3,70E-01;2,60E-06;8,31E-07
M1E;5;45;9,36E-01;4,51E-02;0,00E+00;5,93E-01;1,00E+00;9,83E-01;1,55E-06;1,03E-06
M1C;5;180;9,57E-01;1,00E+00;4,09E-01;2,87E-01;0,00E+00;1,03E-01;1,22E-06;9,57E-07
M1C;8;195;9,67E-01;7,03E-01;9,89E-01;1,00E+00;0,00E+00;2,21E-03;2,07E-06;1,25E-06
M1A;8;105;1,00E+00;8,86E-01;1,36E-01;0,00E+00;9,84E-01;9,30E-01;2,38E-06;8,75E-07
M1E;5;165;9,94E-01;4,02E-01;1,00E+00;2,95E-02;0,00E+00;2,41E-01;1,14E-06;9,84E-07
M1C;10;255;1,55E-01;1,00E+00;9,49E-01;9,38E-01;9,65E-01;0,00E+00;2,54E-06;9,11E-07
M1E;8;60;9,85E-01;4,99E-01;0,00E+00;3,08E-01;1,00E+00;9,84E-01;2,05E-06;1,09E-06
M1C;4;255;7,93E-02;9,71E-01;1,00E+00;9,93E-01;9,34E-01;0,00E+00;1,46E-06;8,16E-07
M1A;7;285;0,00E+00;9,37E-01;9,82E-01;1,00E+00;9,85E-01;1,61E-01;2,32E-06;8,31E-07
M1C;15;180;1,00E+00;9,72E-01;5,48E-01;3,95E-01;0,00E+00;2,42E-01;1,22E-06;5,82E-07
M1E;10;270;1,50E-02;8,74E-01;1,00E+00;9,85E-01;9,15E-01;0,00E+00;2,26E-06;1,14E-06
M1E;9;15;3,77E-01;0,00E+00;6,05E-02;1,00E+00;5,84E-01;9,74E-01;1,73E-06;1,14E-06
M1C;7;15;5,44E-01;0,00E+00;7,51E-02;3,46E-01;1,00E+00;9,66E-01;1,65E-06;1,07E-06
M1E;3;105;1,00E+00;9,49E-01;2,59E-02;0,00E+00;9,57E-01;9,94E-01;7,70E-07;5,23E-07
M1E;9;60;9,77E-01;5,14E-01;0,00E+00;3,18E-01;1,00E+00;9,86E-01;2,13E-06;1,10E-06
M1E;5;30;7,88E-01;0,00E+00;1,07E-02;2,28E-01;1,00E+00;9,48E-01;1,35E-06;1,06E-06
M1C;7;75;9,83E-01;1,00E+00;0,00E+00;1,62E-01;9,67E-01;9,81E-01;2,20E-06;9,55E-07
M1C;15;300;0,00E+00;1,00E+00;8,55E-01;8,09E-01;8,32E-01;7,80E-01;1,78E-06;3,83E-07
M1A;4;330;0,00E+00;9,55E-02;7,57E-01;1,00E+00;4,73E-01;3,00E-01;9,82E-07;6,88E-07
M1A;5;360;2,69E-01;0,00E+00;9,35E-01;8,51E-01;1,00E+00;9,71E-01;1,73E-06;9,26E-07
M1A;20;30;9,40E-01;0,00E+00;1,10E-02;1,00E+00;7,48E-01;6,74E-01;8,22E-07;1,64E-07
M1C;8;285;0,00E+00;1,00E+00;9,78E-01;9,81E-01;9,30E-01;2,50E-01;2,45E-06;8,88E-07
M1E;7;30;8,25E-01;0,00E+00;1,64E-02;2,80E-01;1,00E+00;9,50E-01;1,71E-06;1,18E-06
M1A;8;90;9,96E-01;7,25E-01;0,00E+00;5,06E-02;7,99E-01;1,00E+00;2,26E-06;8,03E-07
M1E;6;180;1,00E+00;3,51E-01;8,84E-01;5,51E-01;0,00E+00;1,27E-01;1,41E-06;1,01E-06
M1C;8;135;1,00E+00;9,69E-01;4,78E-01;0,00E+00;2,43E-01;9,91E-01;2,05E-06;1,00E-06
M1E;3;30;7,57E-01;0,00E+00;2,98E-03;1,50E-01;1,00E+00;9,71E-01;5,86E-07;5,18E-07
M1E;5;285;0,00E+00;9,38E-01;9,79E-01;1,00E+00;9,37E-01;9,59E-02;1,72E-06;1,01E-06
M1A;5;60;9,98E-01;1,00E+00;0,00E+00;4,84E-01;9,89E-01;9,99E-01;1,94E-06;8,00E-07
M1A;9;150;1,00E+00;9,97E-01;9,41E-01;0,00E+00;9,24E-02;8,66E-01;2,27E-06;1,02E-06
M1E;10;195;9,44E-01;5,86E-01;9,78E-01;1,00E+00;0,00E+00;1,53E-02;2,04E-06;1,25E-06
M1E;9;345;1,03E-02;0,00E+00;1,00E+00;9,58E-01;6,39E-01;9,80E-01;2,02E-06;1,26E-06
M1C;7;90;9,99E-01;8,14E-01;0,00E+00;1,28E-02;7,67E-01;1,00E+00;2,09E-06;8,88E-07
M1E;7;360;1,75E-01;0,00E+00;6,21E-01;8,79E-01;3,98E-01;1,00E+00;1,56E-06;1,01E-06
M1A;20;15;1,00E+00;0,00E+00;2,97E-01;3,03E-01;6,90E-01;6,71E-01;7,79E-07;2,02E-07
M1A;3;285;0,00E+00;9,14E-01;1,00E+00;9,88E-01;9,26E-01;1,07E-01;8,25E-07;4,56E-07
M1A;3;45;9,22E-01;5,35E-01;0,00E+00;9,31E-01;9,91E-01;1,00E+00;8,75E-07;4,05E-07
M1C;10;150;1,00E+00;9,94E-01;9,74E-01;0,00E+00;5,97E-02;9,26E-01;2,28E-06;1,16E-06
M1A;3;120;1,00E+00;9,88E-01;1,56E-01;0,00E+00;5,73E-01;9,69E-01;7,50E-07;4,42E-07
M1A;20;255;3,97E-01;4,06E-01;1,81E-01;4,66E-01;1,00E+00;0,00E+00;8,92E-07;9,66E-08
M1C;7;180;9,90E-01;1,00E+00;5,02E-01;3,72E-01;0,00E+00;1,52E-01;1,61E-06;1,05E-06
M1E;15;330;0,00E+00;2,00E-01;1,00E+00;8,95E-01;9,81E-01;4,42E-01;1,41E-06;6,69E-07
M1A;20;150;5,69E-01;5,68E-01;1,00E+00;0,00E+00;6,01E-02;8,34E-01;8,42E-07;1,63E-07
M1C;20;225;4,65E-01;2,30E-01;8,33E-01;1,00E+00;6,99E-01;0,00E+00;7,94E-07;1,22E-07
M1C;20;210;8,35E-01;3,33E-01;9,93E-01;1,00E+00;3,59E-01;0,00E+00;7,73E-07;2,11E-07
M1A;4;45;9,48E-01;5,51E-01;0,00E+00;9,82E-01;9,95E-01;1,00E+00;1,56E-06;6,95E-07
M1E;6;330;0,00E+00;8,96E-02;9,67E-01;9,53E-01;1,00E+00;3,45E-01;1,72E-06;1,21E-06
M1A;15;195;8,56E-01;4,31E-01;8,99E-01;1,00E+00;0,00E+00;9,92E-02;1,44E-06;6,16E-07
M1E;20;210;4,58E-01;9,76E-01;8,19E-01;1,00E+00;2,84E-01;0,00E+00;7,79E-07;2,52E-07
M1E;8;270;1,28E-02;8,29E-01;1,00E+00;9,78E-01;8,71E-01;0,00E+00;2,09E-06;1,12E-06
M1E;15;300;0,00E+00;5,50E-01;9,36E-01;9,02E-01;1,00E+00;9,78E-01;1,62E-06;5,30E-07
M1E;4;45;9,33E-01;2,61E-02;0,00E+00;5,15E-01;1,00E+00;9,78E-01;1,23E-06;8,82E-07
M1A;9;315;0,00E+00;4,79E-01;9,46E-01;9,85E-01;1,00E+00;7,39E-01;2,49E-06;8,62E-07
M1E;7;165;9,79E-01;4,66E-01;1,00E+00;3,83E-02;0,00E+00;3,25E-01;1,51E-06;1,10E-06
M1C;9;255;1,45E-01;1,00E+00;9,73E-01;9,66E-01;9,91E-01;0,00E+00;2,50E-06;9,39E-07
M1C;7;225;3,27E-01;4,98E-01;1,00E+00;9,62E-01;4,10E-01;0,00E+00;1,78E-06;8,43E-07
M1E;6;150;1,00E+00;9,99E-01;1,60E-01;0,00E+00;8,92E-04;8,78E-01;1,53E-06;1,21E-06
M1A;5;180;9,75E-01;1,00E+00;5,43E-01;1,49E-01;0,00E+00;4,87E-01;1,39E-06;8,86E-07
M1A;20;285;0,00E+00;9,55E-01;4,35E-01;2,28E-01;1,00E+00;8,94E-02;8,96E-07;9,41E-08
M1A;3;255;1,11E-01;9,05E-01;1,00E+00;9,64E-01;9,38E-01;0,00E+00;8,16E-07;4,52E-07
M1C;7;135;1,00E+00;9,67E-01;4,69E-01;0,00E+00;2,46E-01;9,85E-01;1,96E-06;9,71E-07
M1C;20;330;0,00E+00;2,31E-01;1,00E+00;7,60E-01;2,97E-01;3,28E-01;7,57E-07;1,76E-07
M1A;10;270;3,79E-02;8,24E-01;1,00E+00;9,86E-01;8,50E-01;0,00E+00;2,44E-06;7,79E-07
M1C;15;195;9,67E-01;6,75E-01;9,39E-01;1,00E+00;0,00E+00;1,16E-02;1,45E-06;7,18E-07
M1C;6;165;9,82E-01;1,00E+00;4,59E-01;3,62E-02;0,00E+00;5,49E-01;1,57E-06;1,08E-06
M1C;4;270;0,00E+00;7,47E-01;9,89E-01;1,00E+00;7,33E-01;2,61E-02;1,32E-06;7,48E-07
M1C;5;105;1,00E+00;9,49E-01;9,53E-02;0,00E+00;9,70E-01;9,79E-01;1,78E-06;9,46E-07
M1A;8;270;3,58E-02;7,60E-01;1,00E+00;9,71E-01;7,92E-01;0,00E+00;2,27E-06;7,94E-07
M1A;15;300;0,00E+00;1,00E+00;8,41E-01;7,65E-01;8,18E-01;3,77E-01;1,73E-06;3,67E-07
M1E;8;285;0,00E+00;1,00E+00;9,80E-01;9,94E-01;9,80E-01;1,34E-01;2,24E-06;1,15E-06
M1E;7;150;9,90E-01;1,00E+00;2,17E-01;0,00E+00;2,66E-05;8,97E-01;1,67E-06;1,19E-06
M1A;10;195;9,22E-01;5,00E-01;9,57E-01;1,00E+00;0,00E+00;8,84E-02;2,17E-06;1,12E-06
M1A;20;75;5,33E-01;1,00E+00;0,00E+00;2,83E-01;8,21E-01;2,93E-01;8,61E-07;5,60E-08
M1C;9;135;9,96E-01;9,70E-01;4,85E-01;0,00E+00;2,47E-01;1,00E+00;2,14E-06;1,00E-06
M1E;7;300;0,00E+00;4,40E-01;9,95E-01;9,82E-01;1,00E+00;8,48E-01;2,20E-06;9,89E-07
M1E;9;180;1,00E+00;4,21E-01;9,19E-01;6,40E-01;0,00E+00;1,99E-01;1,74E-06;1,08E-06
M1A;9;210;3,57E-01;4,38E-01;1,00E+00;8,71E-01;2,00E-01;0,00E+00;1,86E-06;9,24E-07
M1A;4;135;1,00E+00;9,97E-01;3,84E-01;0,00E+00;1,62E-01;9,33E-01;1,25E-06;7,67E-07
M1A;20;195;7,69E-01;2,38E-01;8,16E-01;1,00E+00;0,00E+00;5,72E-02;7,66E-07;2,43E-07
M1C;3;285;0,00E+00;9,33E-01;9,89E-01;1,00E+00;9,15E-01;1,58E-01;8,19E-07;4,60E-07
M1E;7;60;9,86E-01;5,06E-01;0,00E+00;3,08E-01;1,00E+00;9,93E-01;1,96E-06;1,05E-06
M1E;15;150;9,25E-01;1,00E+00;2,37E-01;8,85E-03;0,00E+00;9,46E-01;1,29E-06;6,76E-07
M1A;8;165;1,00E+00;9,79E-01;8,41E-01;1,59E-02;0,00E+00;9,99E-01;2,22E-06;1,14E-06
M1E;7;315;0,00E+00;2,40E-01;9,80E-01;9,76E-01;1,00E+00;5,09E-01;1,94E-06;1,08E-06
M1E;15;135;8,68E-01;1,00E+00;4,55E-01;0,00E+00;4,95E-02;9,48E-01;1,37E-06;6,44E-07
M1C;6;255;1,16E-01;9,66E-01;1,00E+00;9,83E-01;9,34E-01;0,00E+00;2,13E-06;9,82E-07
M1A;5;210;2,95E-01;3,96E-01;1,00E+00;8,10E-01;1,50E-01;0,00E+00;1,26E-06;8,19E-07
M1A;8;210;3,11E-01;4,13E-01;1,00E+00;8,35E-01;1,91E-01;0,00E+00;1,74E-06;9,05E-07
M1A;15;225;1,00E+00;9,35E-01;9,12E-01;9,03E-01;5,45E-01;0,00E+00;1,70E-06;4,42E-07
M1A;20;45;5,34E-01;5,26E-01;0,00E+00;1,00E+00;4,30E-01;3,53E-01;9,00E-07;1,38E-07
M1E;20;285;0,00E+00;1,00E+00;5,53E-01;5,43E-01;9,16E-01;2,69E-01;8,70E-07;2,25E-07
M1C;7;345;0,00E+00;2,44E-02;9,76E-01;1,00E+00;4,60E-01;9,61E-01;1,84E-06;1,18E-06
M1C;8;60;9,69E-01;8,86E-01;0,00E+00;3,77E-01;9,87E-01;1,00E+00;2,32E-06;9,33E-07
M1E;9;255;2,05E-01;9,33E-01;9,59E-01;9,18E-01;1,00E+00;0,00E+00;2,36E-06;1,14E-06
M1E;8;240;1,00E+00;9,55E-01;9,58E-01;9,26E-01;4,33E-01;0,00E+00;2,37E-06;1,07E-06
M1A;7;195;9,58E-01;5,15E-01;1,00E+00;9,96E-01;0,00E+00;7,63E-02;1,95E-06;1,07E-06
M1E;7;255;2,00E-01;9,37E-01;9,86E-01;9,56E-01;1,00E+00;0,00E+00;2,17E-06;1,08E-06
M1E;9;120;9,79E-01;1,00E+00;2,50E-01;0,00E+00;2,83E-01;9,85E-01;2,00E-06;1,19E-06
M1E;3;360;5,23E-02;0,00E+00;4,34E-01;8,04E-01;2,10E-01;1,00E+00;4,83E-07;4,28E-07
M1A;15;105;7,83E-01;7,40E-01;1,41E-01;0,00E+00;1,00E+00;7,26E-01;1,65E-06;3,56E-07
M1C;9;225;3,32E-01;5,07E-01;1,00E+00;9,57E-01;4,19E-01;0,00E+00;1,94E-06;8,65E-07
M1C;9;240;3,51E-01;1,00E+00;9,92E-01;9,55E-01;8,96E-01;0,00E+00;2,50E-06;9,12E-07
M1C;3;255;6,97E-02;9,35E-01;1,00E+00;9,92E-01;9,13E-01;0,00E+00;8,07E-07;4,76E-07
M1E;9;285;0,00E+00;1,00E+00;9,84E-01;9,95E-01;9,81E-01;1,44E-01;2,34E-06;1,16E-06
M1A;7;90;1,00E+00;7,57E-01;0,00E+00;6,32E-02;8,51E-01;9,96E-01;2,18E-06;8,04E-07
M1E;8;180;1,00E+00;4,03E-01;8,76E-01;5,55E-01;0,00E+00;1,81E-01;1,62E-06;1,05E-06
M1E;3;210;3,23E-01;9,92E-01;1,00E+00;9,99E-01;3,93E-02;0,00E+00;6,48E-07;5,11E-07
M1A;10;210;3,53E-01;4,42E-01;1,00E+00;8,88E-01;2,12E-01;0,00E+00;1,91E-06;9,07E-07
M1A;3;135;1,00E+00;9,94E-01;3,48E-01;0,00E+00;1,62E-01;9,30E-01;6,97E-07;4,58E-07
M1C;15;270;0,00E+00;7,82E-01;9,34E-01;1,00E+00;8,06E-01;3,09E-03;1,60E-06;3,29E-07
M1C;7;120;1,00E+00;9,61E-01;2,53E-01;0,00E+00;7,35E-01;9,73E-01;2,13E-06;9,53E-07
M1A;4;180;9,90E-01;1,00E+00;4,57E-01;1,08E-01;0,00E+00;4,25E-01;1,06E-06;7,80E-07
M1E;10;60;9,80E-01;5,16E-01;0,00E+00;3,26E-01;1,00E+00;9,76E-01;2,18E-06;1,08E-06
M1A;4;60;9,68E-01;1,00E+00;0,00E+00;4,06E-01;9,75E-01;9,75E-01;1,55E-06;7,27E-07
M1A;15;360;3,93E-01;0,00E+00;1,00E+00;8,44E-01;9,04E-01;9,19E-01;1,55E-06;5,69E-07
M1C;3;180;9,61E-01;1,00E+00;3,10E-01;2,15E-01;0,00E+00;5,43E-02;5,12E-07;4,79E-07
M1A;10;180;1,00E+00;9,86E-01;6,04E-01;1,98E-01;0,00E+00;5,78E-01;2,02E-06;1,00E-06
M1E;9;150;9,69E-01;1,00E+00;2,15E-01;3,22E-04;0,00E+00;9,02E-01;1,85E-06;1,27E-06
M1A;6;180;9,81E-01;1,00E+00;5,39E-01;1,52E-01;0,00E+00;4,87E-01;1,61E-06;9,98E-07
M1C;8;240;3,42E-01;9,99E-01;1,00E+00;9,33E-01;8,53E-01;0,00E+00;2,41E-06;9,15E-07
M1C;8;75;9,39E-01;1,00E+00;0,00E+00;1,65E-01;9,78E-01;9,48E-01;2,30E-06;9,81E-07
M1E;5;105;9,99E-01;9,68E-01;6,36E-02;0,00E+00;1,00E+00;9,92E-01;1,69E-06;1,07E-06
M1A;5;15;9,55E-01;0,00E+00;1,41E-01;3,28E-01;1,00E+00;9,78E-01;1,51E-06;9,66E-07
M1E;3;90;9,92E-01;7,98E-01;0,00E+00;2,20E-03;7,58E-01;1,00E+00;6,99E-07;4,87E-07
M1C;10;330;0,00E+00;1,89E-01;9,19E-01;1,00E+00;5,50E-01;4,32E-01;1,92E-06;9,57E-07
M1E;15;255;2,13E-01;8,57E-01;8,07E-01;7,69E-01;1,00E+00;0,00E+00;1,60E-06;5,99E-07
M1E;6;285;0,00E+00;9,58E-01;9,85E-01;1,00E+00;9,43E-01;1,00E-01;1,99E-06;1,14E-06
M1E;6;225;3,42E-01;1,00E+00;9,73E-01;9,49E-01;1,94E-01;0,00E+00;1,77E-06;1,16E-06
M1C;3;90;1,00E+00;7,65E-01;0,00E+00;5,92E-03;7,32E-01;9,99E-01;7,24E-07;4,57E-07
M1A;9;90;9,95E-01;7,60E-01;0,00E+00;5,50E-02;8,38E-01;1,00E+00;2,38E-06;8,23E-07
M1A;20;135;5,97E-01;7,66E-01;1,00E+00;0,00E+00;5,29E-01;9,31E-01;8,37E-07;8,63E-08
M1E;4;345;5,22E-03;0,00E+00;1,00E+00;9,60E-01;4,91E-01;9,77E-01;1,18E-06;8,78E-07
M1C;6;60;9,46E-01;8,27E-01;0,00E+00;2,96E-01;9,57E-01;1,00E+00;2,04E-06;9,43E-07
M1C;5;60;9,46E-01;8,12E-01;0,00E+00;2,96E-01;9,61E-01;1,00E+00;1,76E-06;8,55E-07
M1E;7;195;9,61E-01;5,90E-01;9,79E-01;1,00E+00;0,00E+00;1,52E-02;1,83E-06;1,18E-06
M1A;7;165;1,00E+00;9,84E-01;8,34E-01;1,65E-02;0,00E+00;9,80E-01;2,12E-06;1,10E-06
M1A;5;165;1,00E+00;9,97E-01;8,01E-01;1,64E-02;0,00E+00;9,54E-01;1,69E-06;1,01E-06
M1C;6;30;8,62E-01;1,38E-02;0,00E+00;8,95E-01;1,00E+00;9,99E-01;1,91E-06;1,14E-06
M1C;4;345;0,00E+00;1,03E-02;9,64E-01;1,00E+00;3,06E-01;9,42E-01;1,14E-06;9,02E-07
M1A;9;360;3,53E-01;0,00E+00;9,95E-01;9,16E-01;1,00E+00;9,89E-01;2,36E-06;1,07E-06
M1E;5;360;1,14E-01;0,00E+00;5,27E-01;8,44E-01;3,20E-01;1,00E+00;1,18E-06;8,85E-07
M1E;8;135;9,42E-01;1,00E+00;3,34E-01;0,00E+00;4,47E-02;9,32E-01;1,88E-06;1,24E-06
M1A;7;330;0,00E+00;1,73E-01;8,09E-01;1,00E+00;5,76E-01;4,19E-01;1,78E-06;8,19E-07
M1E;6;345;6,21E-03;0,00E+00;1,00E+00;9,58E-01;5,90E-01;9,65E-01;1,73E-06;1,18E-06
M1C;15;240;4,60E-01;1,00E+00;9,04E-01;8,76E-01;9,61E-01;0,00E+00;1,71E-06;4,11E-07
M1A;5;75;9,64E-01;9,41E-01;0,00E+00;1,76E-01;9,40E-01;1,00E+00;1,85E-06;8,48E-07
M1E;3;120;1,00E+00;9,95E-01;7,31E-02;0,00E+00;1,33E-01;9,80E-01;6,28E-07;5,35E-07
M1E;15;30;8,88E-01;0,00E+00;4,00E-02;3,30E-01;1,00E+00;8,51E-01;1,32E-06;6,74E-07
M1A;6;30;7,91E-01;3,02E-02;0,00E+00;8,33E-01;1,00E+00;9,81E-01;1,94E-06;1,04E-06
M1A;8;45;9,06E-01;6,30E-01;0,00E+00;1,00E+00;9,36E-01;9,25E-01;2,51E-06;8,48E-07
M1C;10;270;0,00E+00;7,42E-01;9,66E-01;1,00E+00;7,26E-01;4,00E-02;2,36E-06;8,24E-07
M1E;20;225;5,22E-01;1,00E+00;7,88E-01;9,08E-01;5,28E-01;0,00E+00;8,00E-07;2,21E-07
M1C;15;75;7,99E-01;1,00E+00;0,00E+00;2,06E-01;8,91E-01;7,95E-01;1,61E-06;4,37E-07
M1C;20;105;4,90E-01;5,19E-01;2,54E-01;0,00E+00;1,00E+00;4,72E-01;8,82E-07;1,31E-07
M1E;8;30;8,15E-01;0,00E+00;2,39E-02;2,70E-01;1,00E+00;9,39E-01;1,78E-06;1,23E-06
M1C;6;300;0,00E+00;9,42E-01;9,98E-01;1,00E+00;9,52E-01;6,89E-01;2,30E-06;8,70E-07
M1A;15;60;8,35E-01;1,00E+00;0,00E+00;5,36E-01;7,86E-01;7,25E-01;1,72E-06;3,73E-07
M1A;6;285;0,00E+00;9,20E-01;9,94E-01;1,00E+00;9,52E-01;1,42E-01;2,16E-06;9,16E-07
M1C;10;45;8,96E-01;2,88E-01;0,00E+00;1,00E+00;9,41E-01;9,26E-01;2,46E-06;1,02E-06
M1C;4;195;9,64E-01;6,12E-01;1,00E+00;9,60E-01;1,39E-03;0,00E+00;1,26E-06;8,86E-07
M1E;20;15;4,69E-01;0,00E+00;5,02E-02;1,00E+00;5,09E-01;7,66E-01;6,87E-07;2,43E-07
M1A;8;30;7,87E-01;6,37E-02;0,00E+00;8,11E-01;1,00E+00;9,70E-01;2,16E-06;9,92E-07
M1A;7;135;9,89E-01;1,00E+00;5,22E-01;0,00E+00;2,71E-01;9,33E-01;2,07E-06;8,80E-07
M1E;3;150;1,00E+00;9,63E-01;9,47E-02;0,00E+00;9,68E-05;8,08E-01;5,65E-07;5,15E-07
M1C;6;120;1,00E+00;9,26E-01;1,94E-01;0,00E+00;6,88E-01;9,46E-01;1,96E-06;9,98E-07
M1C;20;240;5,69E-01;7,40E-01;5,40E-01;5,07E-01;1,00E+00;0,00E+00;9,25E-07;1,18E-07
M1C;8;180;9,84E-01;1,00E+00;4,63E-01;3,41E-01;0,00E+00;1,51E-01;1,67E-06;1,11E-06
M1A;4;150;9,90E-01;1,00E+00;8,21E-01;0,00E+00;3,80E-02;7,68E-01;1,28E-06;8,02E-07
M1C;6;360;1,30E-01;0,00E+00;7,52E-01;9,87E-01;7,78E-01;1,00E+00;1,77E-06;1,08E-06
M1A;10;315;0,00E+00;5,12E-01;9,38E-01;9,71E-01;1,00E+00;7,53E-01;2,54E-06;8,41E-07
M1C;7;240;3,36E-01;9,86E-01;1,00E+00;9,37E-01;8,59E-01;0,00E+00;2,30E-06;8,86E-07
M1A;7;120;1,00E+00;9,71E-01;2,76E-01;0,00E+00;6,70E-01;9,91E-01;2,20E-06;8,24E-07
M1E;3;60;9,77E-01;3,56E-01;0,00E+00;1,28E-01;1,00E+00;9,98E-01;6,80E-07;4,95E-07
M1E;10;360;1,96E-01;0,00E+00;6,43E-01;8,88E-01;4,08E-01;1,00E+00;1,76E-06;1,07E-06
M1E;4;330;0,00E+00;4,18E-02;9,66E-01;9,45E-01;1,00E+00;2,47E-01;1,16E-06;9,34E-07
M1E;9;330;0,00E+00;1,37E-01;9,78E-01;9,54E-01;1,00E+00;4,27E-01;2,05E-06;1,23E-06
M1C;6;150;1,00E+00;9,97E-01;8,97E-01;0,00E+00;3,51E-02;8,53E-01;1,91E-06;1,14E-06
M1C;9;45;9,14E-01;2,93E-01;0,00E+00;1,00E+00;9,53E-01;9,30E-01;2,42E-06;1,04E-06
M1C;5;345;0,00E+00;2,21E-02;9,71E-01;1,00E+00;3,98E-01;9,54E-01;1,45E-06;1,05E-06
M1E;6;15;2,88E-01;0,00E+00;4,40E-02;1,00E+00;5,35E-01;9,91E-01;1,41E-06;1,09E-06
M1C;8;105;9,74E-01;8,94E-01;1,55E-01;0,00E+00;1,00E+00;9,54E-01;2,35E-06;1,03E-06
M1C;5;15;4,75E-01;0,00E+00;4,72E-02;2,73E-01;1,00E+00;9,66E-01;1,25E-06;9,72E-07
M1C;5;45;9,40E-01;2,41E-01;0,00E+00;9,58E-01;9,98E-01;1,00E+00;1,78E-06;9,15E-07
M1A;6;90;9,96E-01;7,53E-01;0,00E+00;4,50E-02;8,14E-01;1,00E+00;2,02E-06;8,78E-07
M1A;9;240;3,85E-01;1,00E+00;9,91E-01;9,54E-01;8,78E-01;0,00E+00;2,50E-06;8,11E-07
M1A;9;330;0,00E+00;1,77E-01;7,84E-01;1,00E+00;5,76E-01;4,06E-01;1,93E-06;8,29E-07
M1E;10;180;1,00E+00;4,26E-01;9,17E-01;6,43E-01;0,00E+00;2,10E-01;1,79E-06;1,08E-06
M1E;20;360;3,50E-01;0,00E+00;8,91E-01;1,00E+00;4,44E-01;9,82E-01;6,94E-07;2,43E-07
M1C;5;300;0,00E+00;9,39E-01;1,00E+00;9,93E-01;9,70E-01;6,79E-01;1,98E-06;7,76E-07
M1A;15;345;2,92E-02;0,00E+00;1,00E+00;9,19E-01;3,36E-01;8,83E-01;1,40E-06;6,20E-07
M1E;20;60;9,09E-01;6,90E-01;0,00E+00;6,17E-01;1,00E+00;7,40E-01;8,09E-07;1,64E-07
M1A;4;225;8,53E-01;9,99E-01;1,00E+00;9,14E-01;3,27E-01;0,00E+00;1,46E-06;7,42E-07
M1C;8;30;8,71E-01;3,46E-02;0,00E+00;9,03E-01;1,00E+00;9,97E-01;2,11E-06;1,13E-06
M1E;6;120;9,98E-01;1,00E+00;1,67E-01;0,00E+00;2,22E-01;9,80E-01;1,68E-06;1,18E-06
M1E;10;315;0,00E+00;2,64E-01;9,90E-01;9,78E-01;1,00E+00;5,26E-01;2,15E-06;1,12E-06
M1C;4;315;0,00E+00;2,81E-01;9,24E-01;9,69E-01;1,00E+00;4,47E-01;1,32E-06;7,78E-07
M1C;20;135;6,42E-01;6,64E-01;7,78E-01;0,00E+00;3,52E-01;1,00E+00;8,13E-07;1,45E-07
M1A;3;30;7,51E-01;4,02E-02;0,00E+00;7,82E-01;1,00E+00;9,97E-01;7,25E-07;4,66E-07
M1E;6;90;9,78E-01;8,62E-01;4,48E-04;0,00E+00;8,50E-01;1,00E+00;1,83E-06;1,14E-06
M1C;20;255;4,05E-01;6,90E-01;2,84E-01;2,36E-01;1,00E+00;0,00E+00;9,25E-07;1,10E-07
M1C;15;330;0,00E+00;2,47E-01;1,00E+00;9,60E-01;5,08E-01;4,18E-01;1,33E-06;5,13E-07
M1C;3;45;9,46E-01;1,80E-01;0,00E+00;8,86E-01;9,95E-01;1,00E+00;7,93E-07;4,69E-07
M1A;9;45;9,04E-01;6,35E-01;0,00E+00;1,00E+00;9,49E-01;9,37E-01;2,60E-06;8,51E-07
M1A;7;240;3,71E-01;1,00E+00;9,98E-01;9,39E-01;8,61E-01;0,00E+00;2,30E-06;8,10E-07
M1E;6;45;9,39E-01;4,71E-02;0,00E+00;6,09E-01;1,00E+00;9,85E-01;1,81E-06;1,16E-06
M1E;8;165;9,63E-01;4,52E-01;1,00E+00;3,64E-02;0,00E+00;3,15E-01;1,59E-06;1,15E-06
M1E;10;15;3,88E-01;0,00E+00;6,14E-02;1,00E+00;5,85E-01;9,68E-01;1,78E-06;1,14E-06
M1A;15;15;1,00E+00;0,00E+00;2,40E-01;3,70E-01;8,56E-01;8,18E-01;1,44E-06;5,65E-07
M1E;4;210;3,26E-01;9,98E-01;9,88E-01;1,00E+00;4,84E-02;0,00E+00;1,16E-06;9,04E-07
M1A;6;300;0,00E+00;9,47E-01;9,83E-01;1,00E+00;9,60E-01;3,07E-01;2,20E-06;9,08E-07
M1C;10;315;0,00E+00;4,48E-01;9,45E-01;9,33E-01;1,00E+00;5,73E-01;2,39E-06;9,18E-07
M1E;8;105;9,45E-01;9,34E-01;1,10E-01;0,00E+00;1,00E+00;9,45E-01;2,19E-06;1,22E-06
